,Cómo leer esta validación,Unnamed: 1,Unnamed: 2
0,,,
1,Elemento,Definición,Interpretación
2,Baseline greedy,El modelo elige top-1 en cada paso.,Los 20 problemas incluidos fallaron con este baseline.
3,Rama top-2,"Se mantiene el prefijo, se fuerza top-2 en una posición y se continúa greedy.",Una rama PASS constituye una recuperación local contrafactual.
4,Lookahead,Continuación corta de 12 tokens para todas las posiciones elegibles.,Sirve para ordenar; no determina por sí mismo si el programa pasa.
5,Presupuesto k,Cantidad máxima de ramas completas por problema.,Todos los selectores se comparan con el mismo k.
6,Problema recuperado,Al menos una rama seleccionada pasó los tests base.,Es la métrica primaria por problema.
7,Precisión de rama,Ramas PASS / ramas nominales seleccionadas.,"Mide densidad de ramas útiles, no cobertura del oracle."
8,No evaluada completa,La posición tiene lookahead pero no rama completa.,No debe interpretarse como FAIL.
9,Límite,No se completaron todas las 1.649 posiciones ni se ejecutó HumanEval+.,Todavía no conocemos el oracle exhaustivo ni la robustez reforzada.
10,,,
11,Fuentes reproducibles,,
12,Archivo,Contenido,Ruta de origen
13,validation_report.json,Configuración y resultados agregados,frozen_selector_validation_checkpoint (1).zip
14,branches.jsonl,255 ramas completas únicas,frozen_selector_validation_checkpoint (1).zip
15,lookaheads.jsonl,1.649 posiciones con continuación corta,frozen_selector_validation_checkpoint (1).zip
,Validación de branching adaptativo — 20 problemas,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,Qwen2.5-Coder-7B · HumanEval/26 excluido por desarrollo · tests base de HumanEval,,,,,,,,,Selector,Problemas recuperados,
1,,,,,,,,,,Semántico,10,
2,Problemas,,Lookaheads cortos,,Ramas completas,,Posiciones sin rama completa,,,Entropía,10,
3,20,,1649,,255,,1394,,,Margen,10,
4,,,,,,,,,,Aleatorio,6,
5,,,,,,,,,,,,
6,Selector,Problemas recuperados,Tasa,Ramas PASS,Ramas nominales,Precisión de rama,Brecha vs random,Lectura,,,,
7,Semántico,10,0.5,15,100,0.15,4,"Complementario, pero no superior a entropía",,,,
8,Entropía,10,0.5,21,100,0.21,4,Mejor con presupuestos pequeños,,,,
9,Margen,10,0.5,21,100,0.21,4,Casi redundante con entropía,,,,
10,Aleatorio,6,0.3,7,100,0.07,0,Control de referencia,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,Conclusión defendible,,,,,,,,,,,
14,"Cambiar una decisión top-1 por top-2 recuperó 10 de 20 problemas con cinco ramas. El selector semántico superó al control aleatorio, pero empató con entropía y margen. Su valor potencial es aportar trayectorias diferentes para una política híbrida.",,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,Selector,PASS,FAIL
19,,,,,,,,,,Semántico,15,85
20,,,,,,,,,,Entropía,21,79
21,,,,,,,,,,Margen,21,79
22,,,,,,,,,,Aleatorio,7,93
,task_id,selector,rank,position,branch_passed,recovered_within_k,Unnamed: 6,Ramas permitidas,Semántico,Entropía,Margen,Aleatorio,Unnamed: 12,Ramas permitidas.1,Semántico.1,Entropía.1,Margen.1,Aleatorio.1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
37,HumanEval/93,Aleatorio,3,58,0,0,,,,,,,,,,,,,,,,,,,
38,HumanEval/93,Aleatorio,4,65,0,0,,,,,,,,,,,,,,,,,,,
39,HumanEval/93,Aleatorio,5,73,0,0,,,,,,,,,,,,,,,,,,,
40,HumanEval/10,Semántico,1,137,0,0,,,,,,,,,,,,,,,,,,,
41,HumanEval/10,Semántico,2,34,0,0,,,,,,,,,,,,,,,,,,,
42,HumanEval/10,Semántico,3,28,0,0,,,,,,,,,,,,,,,,,,,
43,HumanEval/10,Semántico,4,111,0,0,,,,,,,,,,,,,,,,,,,
44,HumanEval/10,Semántico,5,15,0,0,,,,,,,,,,,,,,,,,,,
45,HumanEval/10,Entropía,1,111,0,0,,,,,,,,,,,,,,,,,,,
46,HumanEval/10,Entropía,2,120,0,0,,,,,,,,,,,,,,,,,,,
47,HumanEval/10,Entropía,3,128,0,0,,,,,,,,,,,,,,,,,,,
48,HumanEval/10,Entropía,4,26,0,0,,,,,,,,,,,,,,,,,,,
49,HumanEval/10,Entropía,5,4,0,0,,,,,,,,,,,,,,,,,,,
50,HumanEval/10,Margen,1,111,0,0,,,,,,,,,,,,,,,,,,,
51,HumanEval/10,Margen,2,120,0,0,,,,,,,,,,,,,,,,,,,
52,HumanEval/10,Margen,3,128,0,0,,,,,,,,,,,,,,,,,,,
53,HumanEval/10,Margen,4,4,0,0,,,,,,,,,,,,,,,,,,,
54,HumanEval/10,Margen,5,26,0,0,,,,,,,,,,,,,,,,,,,
55,HumanEval/10,Aleatorio,1,37,0,0,,,,,,,,,,,,,,,,,,,
56,HumanEval/10,Aleatorio,2,63,0,0,,,,,,,,,,,,,,,,,,,
57,HumanEval/10,Aleatorio,3,73,0,0,,,,,,,,,,,,,,,,,,,
58,HumanEval/10,Aleatorio,4,84,0,0,,,,,,,,,,,,,,,,,,,
59,HumanEval/10,Aleatorio,5,100,0,0,,,,,,,,,,,,,,,,,,,
60,HumanEval/77,Semántico,1,11,1,1,,,,,,,,,,,,,,,,,,,
61,HumanEval/77,Semántico,2,3,1,1,,,,,,,,,,,,,,,,,,,
62,HumanEval/77,Semántico,3,9,1,1,,,,,,,,,,,,,,,,,,,
63,HumanEval/77,Semántico,4,10,0,1,,,,,,,,,,,,,,,,,,,
64,HumanEval/77,Semántico,5,6,1,1,,,,,,,,,,,,,,,,,,,
65,HumanEval/77,Entropía,1,9,1,1,,,,,,,,,,,,,,,,,,,
66,HumanEval/77,Entropía,2,3,1,1,,,,,,,,,,,,,,,,,,,
67,HumanEval/77,Entropía,3,10,0,1,,,,,,,,,,,,,,,,,,,
68,HumanEval/77,Entropía,4,11,1,1,,,,,,,,,,,,,,,,,,,
69,HumanEval/77,Entropía,5,12,0,1,,,,,,,,,,,,,,,,,,,
70,HumanEval/77,Margen,1,9,1,1,,,,,,,,,,,,,,,,,,,
71,HumanEval/77,Margen,2,3,1,1,,,,,,,,,,,,,,,,,,,
72,HumanEval/77,Margen,3,10,0,1,,,,,,,,,,,,,,,,,,,
73,HumanEval/77,Margen,4,11,1,1,,,,,,,,,,,,,,,,,,,
74,HumanEval/77,Margen,5,12,0,1,,,,,,,,,,,,,,,,,,,
75,HumanEval/77,Aleatorio,1,4,0,0,,,,,,,,,,,,,,,,,,,
76,HumanEval/77,Aleatorio,2,5,0,0,,,,,,,,,,,,,,,,,,,
77,HumanEval/77,Aleatorio,3,6,1,1,,,,,,,,,,,,,,,,,,,
78,HumanEval/77,Aleatorio,4,7,0,1,,,,,,,,,,,,,,,,,,,
79,HumanEval/77,Aleatorio,5,12,0,1,,,,,,,,,,,,,,,,,,,
80,HumanEval/141,Semántico,1,34,0,0,,,,,,,,,,,,,,,,,,,
81,HumanEval/141,Semántico,2,26,0,0,,,,,,,,,,,,,,,,,,,
82,HumanEval/141,Semántico,3,39,0,0,,,,,,,,,,,,,,,,,,,
83,HumanEval/141,Semántico,4,31,0,0,,,,,,,,,,,,,,,,,,,
84,HumanEval/141,Semántico,5,14,1,1,,,,,,,,,,,,,,,,,,,
85,HumanEval/141,Entropía,1,32,0,0,,,,,,,,,,,,,,,,,,,
86,HumanEval/141,Entropía,2,3,1,1,,,,,,,,,,,,,,,,,,,
87,HumanEval/141,Entropía,3,23,0,1,,,,,,,,,,,,,,,,,,,
88,HumanEval/141,Entropía,4,34,0,1,,,,,,,,,,,,,,,,,,,
89,HumanEval/141,Entropía,5,14,1,1,,,,,,,,,,,,,,,,,,,
90,HumanEval/141,Margen,1,32,0,0,,,,,,,,,,,,,,,,,,,
91,HumanEval/141,Margen,2,3,1,1,,,,,,,,,,,,,,,,,,,
92,HumanEval/141,Margen,3,34,0,1,,,,,,,,,,,,,,,,,,,
93,HumanEval/141,Margen,4,23,0,1,,,,,,,,,,,,,,,,,,,
94,HumanEval/141,Margen,5,16,0,1,,,,,,,,,,,,,,,,,,,
95,HumanEval/141,Aleatorio,1,2,0,0,,,,,,,,,,,,,,,,,,,
96,HumanEval/141,Aleatorio,2,19,0,0,,,,,,,,,,,,,,,,,,,
97,HumanEval/141,Aleatorio,3,22,0,0,,,,,,,,,,,,,,,,,,,
98,HumanEval/141,Aleatorio,4,37,0,0,,,,,,,,,,,,,,,,,,,
99,HumanEval/141,Aleatorio,5,44,0,0,,,,,,,,,,,,,,,,,,,
100,HumanEval/154,Semántico,1,12,1,1,,,,,,,,,,,,,,,,,,,
101,HumanEval/154,Semántico,2,13,0,1,,,,,,,,,,,,,,,,,,,
102,HumanEval/154,Semántico,3,3,0,1,,,,,,,,,,,,,,,,,,,
103,HumanEval/154,Semántico,4,17,0,1,,,,,,,,,,,,,,,,,,,
104,HumanEval/154,Semántico,5,21,0,1,,,,,,,,,,,,,,,,,,,
105,HumanEval/154,Entropía,1,12,1,1,,,,,,,,,,,,,,,,,,,
106,HumanEval/154,Entropía,2,17,0,1,,,,,,,,,,,,,,,,,,,
107,HumanEval/154,Entropía,3,14,0,1,,,,,,,,,,,,,,,,,,,
108,HumanEval/154,Entropía,4,15,1,1,,,,,,,,,,,,,,,,,,,
109,HumanEval/154,Entropía,5,13,0,1,,,,,,,,,,,,,,,,,,,
110,HumanEval/154,Margen,1,14,0,0,,,,,,,,,,,,,,,,,,,
111,HumanEval/154,Margen,2,12,1,1,,,,,,,,,,,,,,,,,,,
112,HumanEval/154,Margen,3,15,1,1,,,,,,,,,,,,,,,,,,,
113,HumanEval/154,Margen,4,13,0,1,,,,,,,,,,,,,,,,,,,
114,HumanEval/154,Margen,5,17,0,1,,,,,,,,,,,,,,,,,,,
115,HumanEval/154,Aleatorio,1,3,0,0,,,,,,,,,,,,,,,,,,,
116,HumanEval/154,Aleatorio,2,7,0,0,,,,,,,,,,,,,,,,,,,
117,HumanEval/154,Aleatorio,3,8,0,0,,,,,,,,,,,,,,,,,,,
118,HumanEval/154,Aleatorio,4,17,0,0,,,,,,,,,,,,,,,,,,,
119,HumanEval/154,Aleatorio,5,20,0,0,,,,,,,,,,,,,,,,,,,
120,HumanEval/50,Semántico,1,8,0,0,,,,,,,,,,,,,,,,,,,
121,HumanEval/50,Semántico,2,11,0,0,,,,,,,,,,,,,,,,,,,
122,HumanEval/50,Semántico,3,35,0,0,,,,,,,,,,,,,,,,,,,
123,HumanEval/50,Semántico,4,7,0,0,,,,,,,,,,,,,,,,,,,
124,HumanEval/50,Semántico,5,6,0,0,,,,,,,,,,,,,,,,,,,
125,HumanEval/50,Entropía,1,8,0,0,,,,,,,,,,,,,,,,,,,
126,HumanEval/50,Entropía,2,36,0,0,,,,,,,,,,,,,,,,,,,
127,HumanEval/50,Entropía,3,6,0,0,,,,,,,,,,,,,,,,,,,
128,HumanEval/50,Entropía,4,10,0,0,,,,,,,,,,,,,,,,,,,
129,HumanEval/50,Entropía,5,43,0,0,,,,,,,,,,,,,,,,,,,
130,HumanEval/50,Margen,1,8,0,0,,,,,,,,,,,,,,,,,,,
131,HumanEval/50,Margen,2,36,0,0,,,,,,,,,,,,,,,,,,,
132,HumanEval/50,Margen,3,6,0,0,,,,,,,,,,,,,,,,,,,
133,HumanEval/50,Margen,4,10,0,0,,,,,,,,,,,,,,,,,,,
134,HumanEval/50,Margen,5,43,0,0,,,,,,,,,,,,,,,,,,,
135,HumanEval/50,Aleatorio,1,15,0,0,,,,,,,,,,,,,,,,,,,
136,HumanEval/50,Aleatorio,2,25,0,0,,,,,,,,,,,,,,,,,,,
137,HumanEval/50,Aleatorio,3,37,0,0,,,,,,,,,,,,,,,,,,,
138,HumanEval/50,Aleatorio,4,38,0,0,,,,,,,,,,,,,,,,,,,
139,HumanEval/50,Aleatorio,5,45,0,0,,,,,,,,,,,,,,,,,,,
140,HumanEval/145,Semántico,1,16,0,0,,,,,,,,,,,,,,,,,,,
141,HumanEval/145,Semántico,2,21,0,0,,,,,,,,,,,,,,,,,,,
142,HumanEval/145,Semántico,3,12,0,0,,,,,,,,,,,,,,,,,,,
143,HumanEval/145,Semántico,4,7,0,0,,,,,,,,,,,,,,,,,,,
144,HumanEval/145,Semántico,5,18,0,0,,,,,,,,,,,,,,,,,,,
145,HumanEval/145,Entropía,1,19,0,0,,,,,,,,,,,,,,,,,,,
146,HumanEval/145,Entropía,2,17,0,0,,,,,,,,,,,,,,,,,,,
147,HumanEval/145,Entropía,3,7,0,0,,,,,,,,,,,,,,,,,,,
148,HumanEval/145,Entropía,4,13,0,0,,,,,,,,,,,,,,,,,,,
149,HumanEval/145,Entropía,5,18,0,0,,,,,,,,,,,,,,,,,,,
150,HumanEval/145,Margen,1,19,0,0,,,,,,,,,,,,,,,,,,,
151,HumanEval/145,Margen,2,17,0,0,,,,,,,,,,,,,,,,,,,
152,HumanEval/145,Margen,3,7,0,0,,,,,,,,,,,,,,,,,,,
153,HumanEval/145,Margen,4,13,0,0,,,,,,,,,,,,,,,,,,,
154,HumanEval/145,Margen,5,15,0,0,,,,,,,,,,,,,,,,,,,
155,HumanEval/145,Aleatorio,1,2,0,0,,,,,,,,,,,,,,,,,,,
156,HumanEval/145,Aleatorio,2,3,0,0,,,,,,,,,,,,,,,,,,,
157,HumanEval/145,Aleatorio,3,6,0,0,,,,,,,,,,,,,,,,,,,
158,HumanEval/145,Aleatorio,4,7,0,0,,,,,,,,,,,,,,,,,,,
159,HumanEval/145,Aleatorio,5,10,0,0,,,,,,,,,,,,,,,,,,,
160,HumanEval/163,Semántico,1,14,0,0,,,,,,,,,,,,,,,,,,,
161,HumanEval/163,Semántico,2,28,0,0,,,,,,,,,,,,,,,,,,,
162,HumanEval/163,Semántico,3,10,0,0,,,,,,,,,,,,,,,,,,,
163,HumanEval/163,Semántico,4,25,0,0,,,,,,,,,,,,,,,,,,,
164,HumanEval/163,Semántico,5,7,0,0,,,,,,,,,,,,,,,,,,,
165,HumanEval/163,Entropía,1,9,0,0,,,,,,,,,,,,,,,,,,,
166,HumanEval/163,Entropía,2,27,0,0,,,,,,,,,,,,,,,,,,,
167,HumanEval/163,Entropía,3,10,0,0,,,,,,,,,,,,,,,,,,,
168,HumanEval/163,Entropía,4,25,0,0,,,,,,,,,,,,,,,,,,,
169,HumanEval/163,Entropía,5,23,0,0,,,,,,,,,,,,,,,,,,,
170,HumanEval/163,Margen,1,10,0,0,,,,,,,,,,,,,,,,,,,
171,HumanEval/163,Margen,2,9,0,0,,,,,,,,,,,,,,,,,,,
172,HumanEval/163,Margen,3,27,0,0,,,,,,,,,,,,,,,,,,,
173,HumanEval/163,Margen,4,25,0,0,,,,,,,,,,,,,,,,,,,
174,HumanEval/163,Margen,5,23,0,0,,,,,,,,,,,,,,,,,,,
175,HumanEval/163,Aleatorio,1,6,0,0,,,,,,,,,,,,,,,,,,,
176,HumanEval/163,Aleatorio,2,13,0,0,,,,,,,,,,,,,,,,,,,
177,HumanEval/163,Aleatorio,3,23,0,0,,,,,,,,,,,,,,,,,,,
178,HumanEval/163,Aleatorio,4,24,0,0,,,,,,,,,,,,,,,,,,,
179,HumanEval/163,Aleatorio,5,32,0,0,,,,,,,,,,,,,,,,,,,
180,HumanEval/81,Semántico,1,11,1,1,,,,,,,,,,,,,,,,,,,
181,HumanEval/81,Semántico,2,230,0,1,,,,,,,,,,,,,,,,,,,
182,HumanEval/81,Semántico,3,62,0,1,,,,,,,,,,,,,,,,,,,
183,HumanEval/81,Semántico,4,17,0,1,,,,,,,,,,,,,,,,,,,
184,HumanEval/81,Semántico,5,112,0,1,,,,,,,,,,,,,,,,,,,
185,HumanEval/81,Entropía,1,11,1,1,,,,,,,,,,,,,,,,,,,
186,HumanEval/81,Entropía,2,18,1,1,,,,,,,,,,,,,,,,,,,
187,HumanEval/81,Entropía,3,32,1,1,,,,,,,,,,,,,,,,,,,
188,HumanEval/81,Entropía,4,27,0,1,,,,,,,,,,,,,,,,,,,
189,HumanEval/81,Entropía,5,17,0,1,,,,,,,,,,,,,,,,,,,
190,HumanEval/81,Margen,1,11,1,1,,,,,,,,,,,,,,,,,,,
191,HumanEval/81,Margen,2,18,1,1,,,,,,,,,,,,,,,,,,,
192,HumanEval/81,Margen,3,32,1,1,,,,,,,,,,,,,,,,,,,
193,HumanEval/81,Margen,4,27,0,1,,,,,,,,,,,,,,,,,,,
194,HumanEval/81,Margen,5,17,0,1,,,,,,,,,,,,,,,,,,,
195,HumanEval/81,Aleatorio,1,28,0,0,,,,,,,,,,,,,,,,,,,
196,HumanEval/81,Aleatorio,2,91,0,0,,,,,,,,,,,,,,,,,,,
197,HumanEval/81,Aleatorio,3,111,0,0,,,,,,,,,,,,,,,,,,,
198,HumanEval/81,Aleatorio,4,195,0,0,,,,,,,,,,,,,,,,,,,
199,HumanEval/81,Aleatorio,5,216,0,0,,,,,,,,,,,,,,,,,,,
200,HumanEval/130,Semántico,1,100,0,0,,,,,,,,,,,,,,,,,,,
201,HumanEval/130,Semántico,2,35,0,0,,,,,,,,,,,,,,,,,,,
202,HumanEval/130,Semántico,3,70,0,0,,,,,,,,,,,,,,,,,,,
203,HumanEval/130,Semántico,4,105,0,0,,,,,,,,,,,,,,,,,,,
204,HumanEval/130,Semántico,5,112,0,0,,,,,,,,,,,,,,,,,,,
205,HumanEval/130,Entropía,1,54,0,0,,,,,,,,,,,,,,,,,,,
206,HumanEval/130,Entropía,2,35,0,0,,,,,,,,,,,,,,,,,,,
207,HumanEval/130,Entropía,3,52,0,0,,,,,,,,,,,,,,,,,,,
208,HumanEval/130,Entropía,4,17,0,0,,,,,,,,,,,,,,,,,,,
209,HumanEval/130,Entropía,5,34,0,0,,,,,,,,,,,,,,,,,,,
210,HumanEval/130,Margen,1,52,0,0,,,,,,,,,,,,,,,,,,,
211,HumanEval/130,Margen,2,54,0,0,,,,,,,,,,,,,,,,,,,
212,HumanEval/130,Margen,3,17,0,0,,,,,,,,,,,,,,,,,,,
213,HumanEval/130,Margen,4,35,0,0,,,,,,,,,,,,,,,,,,,
214,HumanEval/130,Margen,5,34,0,0,,,,,,,,,,,,,,,,,,,
215,HumanEval/130,Aleatorio,1,23,0,0,,,,,,,,,,,,,,,,,,,
216,HumanEval/130,Aleatorio,2,70,0,0,,,,,,,,,,,,,,,,,,,
217,HumanEval/130,Aleatorio,3,77,0,0,,,,,,,,,,,,,,,,,,,
218,HumanEval/130,Aleatorio,4,82,0,0,,,,,,,,,,,,,,,,,,,
219,HumanEval/130,Aleatorio,5,116,0,0,,,,,,,,,,,,,,,,,,,
220,HumanEval/121,Semántico,1,15,0,0,,,,,,,,,,,,,,,,,,,
221,HumanEval/121,Semántico,2,5,0,0,,,,,,,,,,,,,,,,,,,
222,HumanEval/121,Semántico,3,3,0,0,,,,,,,,,,,,,,,,,,,
223,HumanEval/121,Semántico,4,20,1,1,,,,,,,,,,,,,,,,,,,
224,HumanEval/121,Semántico,5,12,0,1,,,,,,,,,,,,,,,,,,,
225,HumanEval/121,Entropía,1,7,0,0,,,,,,,,,,,,,,,,,,,
226,HumanEval/121,Entropía,2,5,0,0,,,,,,,,,,,,,,,,,,,
227,HumanEval/121,Entropía,3,15,0,0,,,,,,,,,,,,,,,,,,,
228,HumanEval/121,Entropía,4,3,0,0,,,,,,,,,,,,,,,,,,,
229,HumanEval/121,Entropía,5,9,0,0,,,,,,,,,,,,,,,,,,,
230,HumanEval/121,Margen,1,7,0,0,,,,,,,,,,,,,,,,,,,
231,HumanEval/121,Margen,2,5,0,0,,,,,,,,,,,,,,,,,,,
232,HumanEval/121,Margen,3,15,0,0,,,,,,,,,,,,,,,,,,,
233,HumanEval/121,Margen,4,3,0,0,,,,,,,,,,,,,,,,,,,
234,HumanEval/121,Margen,5,9,0,0,,,,,,,,,,,,,,,,,,,
235,HumanEval/121,Aleatorio,1,10,0,0,,,,,,,,,,,,,,,,,,,
236,HumanEval/121,Aleatorio,2,13,0,0,,,,,,,,,,,,,,,,,,,
237,HumanEval/121,Aleatorio,3,16,0,0,,,,,,,,,,,,,,,,,,,
238,HumanEval/121,Aleatorio,4,19,0,0,,,,,,,,,,,,,,,,,,,
239,HumanEval/121,Aleatorio,5,21,0,0,,,,,,,,,,,,,,,,,,,
240,HumanEval/38,Semántico,1,110,0,0,,,,,,,,,,,,,,,,,,,
241,HumanEval/38,Semántico,2,9,0,0,,,,,,,,,,,,,,,,,,,
242,HumanEval/38,Semántico,3,46,0,0,,,,,,,,,,,,,,,,,,,
243,HumanEval/38,Semántico,4,29,0,0,,,,,,,,,,,,,,,,,,,
244,HumanEval/38,Semántico,5,109,0,0,,,,,,,,,,,,,,,,,,,
245,HumanEval/38,Entropía,1,86,0,0,,,,,,,,,,,,,,,,,,,
246,HumanEval/38,Entropía,2,81,0,0,,,,,,,,,,,,,,,,,,,
247,HumanEval/38,Entropía,3,29,0,0,,,,,,,,,,,,,,,,,,,
